sigle,titre
"CF150,""Aspects électron.de l'informatique judiciaire"""
"CF160,""Aspects logiciels de l'informat. judiciaire"""
"CF170,""Gestion de risques de l'information"""
"CF180,""Cyberintimidation et société"""
"CF190,""Systèmes de points de vente"""
"CF201,""Transactions financières électroniques"""
"CF210,""Exploration de données financières"""
"CF230,""Appareils électron. mobiles en infor. judic."""
"CF270,""Analyse de la cybervictimisation"""
"CHE0501,""Chimie générale"""
"CHE0501P,""Chimie générale"""
"CIV1000,""Gestion des études, intégrité et sécurité"""
"CIV1101,""Géométronique"""
"CIV1120,""Technologies informationnelles en génie civil"""
"CIV1140,""Matériaux de génie civil"""
"CIV1150,""Résistance des matériaux"""
"CIV1205,""Habiletés relationnelles"""
"CIV1210,""Génie de l'environnement"""
"CIV1910,""Projet d'analyse expérim. d'ouvrages civils"""
"CIV2205,""Habiletés de travail en équipe collaboratif"""
"CIV2310,""Mécanique des fluides"""
"CIV2320,""Hydrologie pour ingénieur"""
"CIV2500,""Comportement et résistance des constructions"""
"CIV2710,""Systèmes de transport"""
"CIV2920,""Projet d'ingénierie hydrique et risque"""
"CIV3100,""Communication écrite et orale"""
"CIV3100A,""Atelier en CÉO"""
"CIV3100I,""Épreuves initiales de communication"""
"CIV3220,""Impacts sur l'environnement et dével. durable"""
"CIV3330,""Hydraulique des réseaux"""
"CIV3415,""Mécanique des sols"""
"CIV3420,""Fondations"""
"CIV3502,""Analyse des structures"""
"CIV3503,""Conception des structures en acier"""
"CIV3504,""Conception de structures en béton armé"""
"CIV3930,""Projet de caractérisation avec GPS et GIS"""
"CIV4810,""Projet en laboratoire"""
"CIV4940,""Projet de conception en génie civil"""
"CIV6200,""Sciences du génie de l'environnement"""
"CIV6205,""Impacts des projets sur l'environnement"""
"CIV6207,""Lab. de procédés de traitement des eaux"""
"CIV6208,""Concept. d'ouvrages de purification des eaux"""
"CIV6209A,""Concept. de station d'épurat. des eaux usées"""
"CIV6210,""Gestion des déchets solides"""
"CIV6214A,""Risques naturels et mesures d'urgence"""
"CIV6215A,""Procédés d'oxydation et traitements avancés"""
"CIV6216A,""Restauration des sols contaminés"""
"CIV6217A,""Microbiologie environnementale"""
"CIV6301,""Hydrologie"""
"CIV6302,""Météorologie"""
"CIV6305,""Gestion des ressources hydriques"""
"CIV6307,""Écoulement à surface libre"""
"CIV6313A,""Réhabilitation des réseaux d'eau urbains"""
"CIV6314A,""Évaluat. fonctionnelle des réseaux d'eau urb."""
"CIV6315,""Hydraulique des sédiments"""
"CIV6401,""Propriétés géotechniques des sols"""
"CIV6404,""Fondations"""
"CIV6405,""Géotechnique"""
"CIV6406,""Écoulement des eaux dans les sols"""
"CIV6407,""Mécanique des sols expérimentale"""
"CIV6414,""Ingénierie géotechnique sismique"""
"CIV6501,""Compléments de béton armé"""
"CIV6502,""Analyse avancée des struct. et éléments finis"""
"CIV6503,""Stabilité des structures"""
"CIV6504A,""Béton précontraint"""
"CIV6505,""Techniques du béton"""
"CIV6506,""Calcul avancé des charpentes d'acier"""
"CIV6508,""Analyse dynamique des structures"""
"CIV6510A,""Conception parasismique des structures"""
"CIV6512,""Conception avancée et évaluation des ponts"""
"CIV6540,""Méth. proba. analyse données ingénieur civil"""
"CIV6701,""Planification des transports"""
"CIV6702,""Analyse des transports"""
"CIV6704A,""Réseaux de transport urbain"""
"CIV6705,""Théorie de la circulation"""
"CIV6706A,""Régulation de la circulation"""
"CIV6707A,""Transports: Technologies et innovation"""
"CIV6708,""Transport en commun"""
"CIV6709,""Capacités des éléments routiers"""
"CIV6710,""Géométrie des tracés"""
"CIV6718,""Projet Mobilité et urbanisme"""
"CIV6719,""Modélisation de la demande de transport"""
"CIV6813,""Avant-projets en ingénierie civile"""
"CIV6820,""Négociation en ingénierie civile"""
"CIV6840,""Cadre de réalisation des projets de construc."""
"CIV6850,""Information et projets d'ingénierie civile"""
"CIV6860,""Déroulement d'un projet d'ingénierie civile"""
"CIV6870,""Montage d'un projet d'ingénierie civile"""
"CIV6901,""Projet de maîtrise en ingénierie I"""
"CIV6902,""Projet de maîtrise en ingénierie II"""
"CIV6903,""Projet de maîtrise en ingénierie III"""
"CIV6904,""Séminaires"""
"CIV6909,""Stage en laboratoire"""
"CIV6910,""Projet de maîtrise IV"""
"CIV6911,""Stage en laboratoire II"""
"CIV6918,""Projet d'études supérieures"""
"CIV6919,""Stage en milieu de travail I"""
"CIV6920,""Stage en milieu de travail II"""
"CIV6929,""Stage en laboratoire III"""
"CIV6953D,""C.SPÉC.: ANALYSE NON-LINÉAIRE DES STRUCTURES"""
"CIV6953F,""C.SPÉC.: Hydrosystèmes numériques avancés"""
"CIV6966S,""Stage en milieu de travail à temps partiel"""
"CIV6972S,""stage en milieu de travail"""
"CIV7911,""Stage doctoral I"""
"CIV7912,""Stage doctoral II"""
"CIV7913,""Stage doctoral III"""
"CIV7914,""Stage doctoral IV"""
"CIV7915,""Stage doctoral V"""
"CIV7916,""Stage doctoral VI"""
"CIV8170,""Méthode des éléments finis en génie civil"""
"CIV8180,""Gestion des projets de construction"""
"CIV8185,""Techniques construction et réhabilitation"""
"CIV8186,""Techniques de construction et réhabilitation"""
"CIV8210,""Traitements physico-chimiques de l'eau"""
"CIV8220,""Épuration biologique des eaux usées"""
"CIV8230,""Traitement autonome et décentralisé de l'eau"""
"CIV8240,""Traitement de l'eau et des rejets"""
"CIV8250,""Les eaux urbaines"""
"CIV8310,""Aménagements et structures hydrauliques"""
"CIV8320,""Perspectives & défis en hydraulique appliquée"""
"CIV8360,""Gestion des ressources en eau"""
"CIV8370,""Hydraulique des cours d'eau"""
"CIV8410,""Digues et barrages en remblai"""
"CIV8440,""Mécanique des roches en génie civil"""
"CIV8450,""Géotechnique routière"""
"CIV8470,""Excavations et travaux souterrains"""
"CIV8510,""Conception des charpentes en bois"""
"CIV8520,""Conception des ponts"""
"CIV8530,""Fiabilité des structures et systèmes"""
"CIV8540,""Conception des bâtiments multiétagés"""
"CIV8730,""Construction et restauration de chaussées"""
"CIV8740,""Circulation"""
"CIV8750,""Planification durable des transports"""
"CIV8760,""Gestion des données en transport"""
"CIV8770,""Conception des routes"""
"CIV8911,""Interventions d'urgence en genie civil"""
"CIV8970,""Projet de conception en génie civil"""
"CP110,""Électrotechnique appliquée"""
"CP120,""Électronique"""
"CP130,""Logique"""
"CP210,""Automates programmables"""
"CP220,""Réseaux de communication"""
"CP250,""Commande industrielle"""
"CP310,""Mesure et instrumentation"""
"CP320,""Commande de procédés"""
"CP330,""Implantation de l'instrumentation"""
"CP410,""Interface opérateur et logiciels de supervis."""
"CP420,""Gestion manufacturière"""
"CP510,""Projet intégrateur"""
"CR010,""Introduction aux technologies de l'informat."""
"CR300,""Introduction à la cybersécurité"""
"CR300E,""Introduction to Cybersecurity"""
"CR310,""Cyberattaque et défense en entreprise"""
"CR310E,""Attack and Defense Methods in the Workplace"""
"CR320,""Gouvernance de la cybersécurité"""
"CR320E,""Governance of Cybersecurity"""
"CR330,""Audit interne et conformité"""
"CR340,""Systèmes d'exploitation"""
"CR340E,""Operating Systems"""
"CR350,""Réseautique et sécurité"""
"CR350E,""Networking and Security"""
"CR360,""Stockage"""
"CR360E,""Storage"""
"CR370,""Sécurité des bases de données"""
"CR380,""Virtualisation"""
"CR390,""Internet des objets et sécurité domestique"""
"CR390E,""Internet of Things and Domestic Security"""
"CR400,""Réseaux sans fil et appareils mobiles"""
"CR400E,""Wireless and Mobile Devices"""
"CR410,""Gestion des identités et des accès"""
"CR420,""Services réseau avancés"""
"CR430,""Introduc. à la programmation et aux scripts"""
"CR430E,""Introduction to Programming and Scripts"""
"CR440,""Sécurité applicative"""
"CR450,""Détection et réponses aux incidents"""
"CR460,""Infonuagique"""
"CR470,""Tests d'intrusion"""
"CR470E,""Intrusion tests"""
"CR480,""Enquête de piratage informatique avancée"""
"CR490,""Cryptographie appliquée"""
"CR500,""Sécurité des systèmes de contrôle industriels"""
"CY101,""Introduction à la cybercriminalité"""
"CY110,""Internet:réseau et applications"""
"CY120,""Moteurs de recherche"""
"CY131,""Communications Internet"""
"CY140,""Piratage informatique"""
"CY150,""Enquêtes sur les crimes virtuels"""
"CY160,""Cybercriminalité, enquête policière et droit"""
"CY201,""Prévention de la cybercriminalité"""
"CY211,""Analyse de la personnalité cybercriminelle I"""
"CY231,""Analyse de la personnalité cybercriminelle II"""
"CY240,""Internet et la responsabilité civile"""
"CY251,""Techniques d'entrevues d'enquête"""
"DDI8001,""Développement durable pour ingénieurs"""
"DDI8002,""Études de cas en dévelop. durable pour ing."""
"DDI8003,""Analyse du cycle de vie"""
"E-222,""Éléments de circuits électriques"""
"E-301,""Circuits triphasés"""
"E-302,""Distribution électrique"""
"E-303,""Appareillage électrique"""
"E-311,""Normalisation et systèmes auxiliaires"""
"E-313,""Projet d'installations électriques"""
"E-314,""Principes d'éclairagisme"""
"E-322,""Systèmes de chauffage et de climatisation"""
"E-331,""Commande et protection"""
"ELE1001,""Travail en équipe et projet"""
"ELE1010,""Santé, sécurité laboratoires d'enseignement"""
"ELE1300,""Circuits logiques"""
"ELE1402,""Électrotechnique du génie civil"""
"ELE1403,""Éléments d'électrotechnique et d'électronique"""
"ELE1409,""Électricité du bâtiment"""
"ELE1600A,""Circuits électriques"""
"ELE2003,""Projets de circuits électroniques"""
"ELE2200,""Systèmes et simulation"""
"ELE2302,""Circuits électroniques"""
"ELE2307,""Thermodynamique statistique- semiconducteurs"""
"ELE2310,""Électronique"""
"ELE2400,""Électricité: Sécurité et environnement"""
"ELE2611,""Circuits actifs"""
"ELE2700,""Analyse des signaux"""
"ELE2705,""Transmission de l'information"""
"ELE3000,""Projet personnel en génie électrique"""
"ELE3005,""Communication écrite et orale"""
"ELE3005A,""Atelier en CÉO"""
"ELE3005I,""Épreuves initiales de communication"""
"ELE3201,""Asservissements"""
"ELE3202,""Introduction à l'automatisation"""
"ELE3311,""Systèmes logiques programmables"""
"ELE3312,""Microcontrôleurs et applications"""
"ELE3400,""Électrotechnique"""
"ELE3500,""Ondes électromagnétiques"""
"ELE3601,""Introduction aux circuits électriques"""
"ELE3701A,""Éléments de télécommunications"""
"ELE3703,""Introduction aux communications numériques"""
"ELE4202,""Commande des processus industriels"""
"ELE4205,""Syst. d'exploit. et interfaces matérielles"""
"ELE4306,""Électronique des communications"""
"ELE4400,""Électronique industrielle"""
"ELE4451,""Dispositifs d'électronique de puissance"""
"ELE4452,""Réseaux électriques"""
"ELE4455,""Systèmes électromécaniques"""
"ELE4458,""Électricité industrielle"""
"ELE4500,""Circuits passifs micro-ondes"""
"ELE4501A,""Circuits et systèmes comm. radiofréquences"""
"ELE6202,""Systèmes multivariables"""
"ELE6203,""Analyse,commande et gestion des réseaux élect"""
"ELE6204A,""Analyse et commande systèmes non linéaires"""
"ELE6205,""Commande par ordinateur des proc. industriels"""
"ELE6208A,""Commande systèmes aéronautiques et spatiaux"""
"ELE6209A,""Systèmes de navigation"""
"ELE6210,""Conception de systèmes de commande"""
"ELE6214,""Commande de systèmes incertains"""
"ELE6215A,""Commande stochastique et filtrage"""
"ELE6302A,""Reconnaissance de formes: synthèse et applic."""
"ELE6305B,""Conception et vérif. des systèmes sur puces"""
"ELE6306,""Tests de systèmes électroniques"""
"ELE6307,""Mach. neuronales: architectures et applicat."""
"ELE6308,""Microélectronique analogique et mixte"""
"ELE6423,""Haute tension"""
"ELE6427,""Microréseaux intelligents"""
"ELE6501A,""Électromagnétisme avancé"""
"ELE6502,""Instrumentation automatisée en micro-ondes"""
"ELE6503,""Dispositifs et circuits actifs micro-ondes"""
"ELE6505,""Circuits micro-ondes non linéaires"""
"ELE6506,""Antennes et propagation"""
"ELE6507,""Méthodes numériques en électromagnétisme"""
"ELE6701A,""Détection, décision, estimation des signaux"""
"ELE6702,""Théorie de l'information"""
"ELE6703,""Théorie des communications"""
"ELE6704,""Conception des processeurs numériques rapides"""
"ELE6705,""Traitement numérique des signaux"""
"ELE6706A,""Réseaux de télécommunications"""
"ELE6709,""Systèmes de communications sans fil"""
"ELE6710,""Codage correcteurs d'erreurs"""
"ELE6810,""Intellig. artific.: méthode heurist. de rech."""
"ELE6901,""Projet de maîtrise en ingénierie I"""
"ELE6902,""Projet de maîtrise en ingénierie II"""
"ELE6903,""Projet de maîtrise en ingénierie III"""
"ELE6904,""Séminaires"""
"ELE6909,""Stage industriel I"""
"ELE6910,""Stage industriel II"""
"ELE6919,""Stage en laboratoire"""
"ELE6920,""Projet de maîtrise IV"""
"ELE6921,""Stage en laboratoire II"""
"ELE6922,""Projet d'études supérieures"""
"ELE6929,""Stage en laboratoire III"""
"ELE6966S,""Stage en milieu de travail à temps partiel"""
"ELE6972S,""Stage en milieu de travail"""
"ELE7811,""Stage doctoral I"""
"ELE7812,""Stage doctoral II"""
"ELE7813,""Stage doctoral III"""
"ELE7814,""Stage doctoral IV"""
"ELE7815,""Stage doctoral V"""
"ELE7816,""Stage doctoral VI"""
"ELE7911,""Stage doctoral I"""
"ELE7912,""Stage doctoral II"""
"ELE7913,""Stage doctoral III"""
"ELE7914,""Stage doctoral IV"""
"ELE7915,""Stage doctoral V"""
"ELE7916,""Stage doctoral VI"""
"ELE8080,""Projet intégrateur de grande envergure (PIGE)"""
"ELE8200,""Systèmes de commande numérique"""
"ELE8203,""Robotique"""
"ELE8300,""Électronique analogique"""
"ELE8304,""Circuits intégrés à très grande échelle"""
"ELE8307,""Prototypage rapide de systèmes numériques"""
"ELE8401,""Machines et entraînements électriques"""
"ELE8411,""Étude des grands réseaux électriques"""
"ELE8451,""Dispositifs d'électronique de puissance"""
"ELE8452,""Réseaux électriques"""
"ELE8455,""Systèmes électromécaniques"""
"ELE8456,""Réseaux de distribution"""
"ELE8457,""Comportement des réseaux électriques"""
"ELE8458,""Électricité industrielle"""
"ELE8459,""Protection des réseaux électriques"""
"ELE8460,""Appareillage électrique"""
"ELE8461,""Production de l'énergie électrique"""
"ELE8500,""Circuits passifs micro-ondes"""
"ELE8501,""Circuits systèmes comm. radiofréquence"""
"ELE8508,""Concepts fondamentaux de photonique"""
"ELE8700,""Transmission numérique"""
"ELE8702,""Réseaux de communication sans fil"""
"ELE8704,""Transmission de données et réseaux internet"""
"ELE8705,""Télécommunications mobiles"""
"ELE8812,""Traitement et analyse d'images"""
"ENE6002,""Thermohydraulique des systèmes diphasiques"""
"ENE6010,""Exergie et systèmes énergétiques"""
"ENE6101,""Physique statique des réacteurs"""
"ENE6102,""Cinétique des réacteurs nucléaires"""
"ENE6103,""Calcul neutronique des réacteurs"""
"ENE6107,""Thermique des réacteurs nucléaires"""
"ENE6109A,""Gestion du combustible nucléaire"""
"ENE6110,""Laboratoire de génie nucléaire"""
"ENE6111,""Analyse par activation et radio-isotopes"""
"ENE6120,""Simulat. et commande des réacteurs nucléaires"""
"ENE6121,""Sûreté des centrales nucléaires"""
"ENE6510,""Modélisation énergétique des bâtiments"""
"ENE6901,""Projet de maîtrise en ingénierie I"""
"ENE6902,""Projet de maîtrise en ingénierie II"""
"ENE6903,""Projet de maîtrise en ingénierie III"""
"ENE6906,""Séminaires"""
"ENE6907,""Stage en laboratoire"""
"ENE6908,""Stage en laboratoire II"""
"ENE6912,""Projet de maîtrise IV"""
"ENE6918,""Projet d'études supérieures"""
"ENE6929,""Stage en laboratoire III"""
"ENE6966S,""STAGE EN MILIEU DE TRAVAIL À TEMPS PARTIEL"""
"ENE6972S,""STAGE EN MILIEU DE TRAVAIL"""
"ENE7911,""Stage doctoral I"""
"ENE7912,""Stage doctoral II"""
"ENE7913,""Stage doctoral III"""
"ENE7914,""Stage doctoral IV"""
"ENE7915,""Stage doctoral V"""
"ENE7916,""Stage doctoral VI"""
"ENE8105,""Rayonnement et radioprotection"""
"ENE8203,""Technologies nucléaires"""
"ENE8210,""Efficacité des sources d'énergie"""
"ENE8220,""Transport et utilisation de l'énergie"""
"ENE8230,""Modélisa. techno-écono. des syst. énergéti."""
"ENE8280,""Caractérisation des équip. hydroélectriques"""
"ENE8310,""Stockage et intégration des syst. énergéti."""
"ENE8412,""Gest. de la charge et de la prod. fluctuante"""
"ENE8610,""Éléments d'aménagements hydroélectriques"""
"ENE8707,""Télécom. pour réseaux énergéti. intelligents"""
"GBM1100,""Projets et trav. équipe en génie biomédical"""
"GBM1610,""Biochimie pour ingénieur"""
"GBM1620,""Biologie moléculaire et cellulaire pour ing."""
"GBM2100,""Projet d'instrumentation biomédicale"""
"GBM2201,""Mécanique des milieux continus"""
"GBM2214,""Biomécanique"""
"GBM2330,""Instrumentation et mesures biomédicales"""
"GBM2620,""Thermodynamique statistique biomoléculaire"""
"GBM3000E,""Physiologie, systèmes et technologies"""
"GBM3100,""Projet individuel en génie biomédical"""
"GBM3103,""Réglementation des instruments médicaux"""
"GBM3105,""Communication écrite et orale"""
"GBM3105A,""Atelier en CÉO"""
"GBM3105I,""Épreuves initiales de communication"""
"GBM3210,""CFAO en biomédical et réadaptation"""
"GBM3310,""Modélisation et commande en physiologie"""
"GBM3610,""Labo. de biologie moléculaire et cellulaire"""
"GBM3805,""Physique moderne en génie biomédical"""
"GBM4102,""Réglementation des instruments médicaux"""
"GBM6103A,""Traitement d'images et signaux biomédicaux"""
"GBM6112,""Services de santé et hospitaliers"""
"GBM6125,""Bases du génie biomédical"""
"GBM6126,""Labos, services et équipements cliniques"""
"GBM6145A,""Ingénierie de la réadaptation"""
"GBM6330,""Technologies biomédicales émergentes"""
"GBM6700,""Reconstruction 3D à partir d'images médicales"""
"GBM6710,""Robotique médicale"""
"GBM6901,""Projet de maîtrise en ingénierie I"""
"GBM6902,""Projet de maîtrise en ingénierie II"""
"GBM6903,""Projet de maîtrise en ingénierie III"""
"GBM6904,""Séminaires de génie biomédical"""
"GBM6908,""Stage en laboratoire"""
"GBM6909,""Stage en laboratoire II"""
"GBM6918,""Projet d'études supérieures"""
"GBM6929,""Stage en laboratoire III"""
"GBM6966S,""Stage en entreprise à temps partiel"""
"GBM6972S,""Stage en entreprise"""
"GBM7904,""Séminaires de doctorat en génie biomédical"""
"GBM7911,""Stage doctoral I"""
"GBM7912,""Stage doctoral II"""
"GBM7913,""Stage doctoral III"""
"GBM7914,""Stage doctoral IV"""
"GBM7915,""Stage doctoral V"""
"GBM7916,""Stage doctoral VI"""
"GBM8214A,""Modélisation éléments finis en biomécanique"""
"GBM8215,""Mécanobio, imagerie et thermo vivant"""
"GBM8320,""Dispositifs médicaux intelligents"""
"GBM8378,""Principes d'imagerie biomédicale"""
"GBM8540,""Corrosion et dégradation des biomatériaux"""
"GBM8555,""Biocompatibilité et sciences des biomatériaux"""
"GBM8570,""Biomatériaux"""
"GBM8605,""Médecine regénératrice et nanomédecine"""
"GBM8670,""Immunité et interactions biomoléculaires"""
"GBM8770,""Traitement numérique d'images médicales"""
"GBM8802,""Biophotonique"""
"GBM8810,""Nanotechnologie biomédicale"""
"GBM8871,""Biomicrosystèmes"""
"GBM8970,""Projet intégrateur en génie biomédical"""
"GCH1110,""Analyse des procédés et développement durable"""
"GCH1122,""Introduction au génie chimique"""
"GCH1140,""Travail en équipe et projet de génie chimique"""
"GCH1220,""Conception environnementale et cycle de vie"""
"GCH1511,""Thermodynamique"""
"GCH1530,""Chimie organique"""
"GCH2105,""Génie du vivant"""
"GCH2120,""Dynamique des systèmes"""
"GCH2525,""Thermodynamique chimique"""
"GCH2535,""Modélisation numérique en génie chimique"""
"GCH2545,""Modélisation numérique en ing."""
"GCH2550,""Projet de modélisation numérique"""
"GCH2560,""Méthodes expérimentales et instrumentation"""
"GCH3000,""Communication écrite et orale"""
"GCH3000A,""Atelier en CÉO"""
"GCH3000I,""Épreuves initiales de communication"""
"GCH3100A,""Opérations unitaires"""
"GCH3100C,""Projets d'opérations unitaires"""
"GCH3105,""Matériaux polymères"""
"GCH3110,""Calculs des réacteurs chimiques"""
"GCH3115,""Électrochimie et applications"""
"GCH3515,""Phénomènes d'échanges"""
"GCH3520,""Projets de phénomènes d'échanges"""
"GCH4160,""Projet de conception et analyse d'impact"""
"GCH4310,""Travaux pratiques de plasturgie"""
"GCH6101,""Chimie physique des polymères"""
"GCH6104A,""Rhéologie des polymères"""
"GCH6108,""Systèmes polymères multiphasés"""
"GCH6112A,""Conc. des opér. d'agitation et de mélange"""
"GCH6113,""Identification de syst. et comm. adaptative"""
"GCH6114,""Projet de conception de produits polymériques"""
"GCH6201,""Catalyse et cinétique appliquées"""
"GCH6210,""Ingénierie des pâtes et papiers"""
"GCH6301,""Ingénierie des biosystèmes"""
"GCH6302,""Culture des cellules"""
"GCH6303,""Réacteurs polyphasés"""
"GCH6304,""Contrôle de la pollution industrielle"""
"GCH6309,""Valorisation énergétique des déchets solides"""
"GCH6312,""Phénomène d'échanges en gén. tiss. et en bio."""
"GCH6313,""Modélis. environn. des émissions toxiques"""
"GCH6902,""Conception des réacteurs gaz-solide"""
"GCH6903,""Phénomènes d'échanges avancés"""
"GCH6905A,""Thermodynamique à l'échelle nanométrique"""
"GCH6908,""Séminaires"""
"GCH6909,""Projet de maîtrise en ingénierie I"""
"GCH6910,""Projet de maîtrise en ingénierie II"""
"GCH6911,""Projet de maîtrise en ingénierie III"""
"GCH6912A,""Compléments de phénomènes d'échanges"""
"GCH6912AE,""Selected topics in transport phenomena"""
"GCH6913,""Stage en laboratoire"""
"GCH6914,""Méthode des éléments finis en génie chimique"""
"GCH6915,""Projet de maîtrise IV"""
"GCH6916,""Stage en Laboratoire II"""
"GCH6918,""Projet d'études supérieures"""
"GCH6919,""Stage en milieu de travail I"""
"GCH6920,""Stage en milieu de travail II"""
"GCH6929,""Stage en laboratoire III"""
"GCH6966S,""Stage en milieu de travail à temps partiel"""
"GCH6972S,""Stage en milieu de travail"""
"GCH7911,""Stage doctoral I"""
"GCH7912,""Stage doctoral II"""
"GCH7913,""Stage doctoral III"""
"GCH7914,""Stage doctoral IV"""
"GCH7915,""Stage doctoral V"""
"GCH7916,""Stage doctoral VI"""
"GCH7918,""Planification d'un projet doctoral"""
"GCH8102,""Mise en forme des polymères"""
"GCH8103,""Conversion de la biomasse"""
"GCH8104,""Traitement des minerais"""
"GCH8105,""Génie brassicole"""
"GCH8106,""Ingénierie des emballages polymères"""
"GCH8107,""Procédés pyrométallurgiques"""
"GCH8108,""Méth.numérique specialisées phénomène échange"""
"GCH8109,""Optimi. éner. proc. ind.: concepts et outils"""
"GCH8150,""Systèmes de commande de procédés chimiques"""
"GCH8210,""Pollution et risque écotoxicologique"""
"GCH8211,""Conception et intégration des procédés"""
"GCH8271,""Conception et synthèse des procédés"""
"GCH8272,""Projet de conception et analyse d'impacts"""
"GCH8391,""Projet individuel de génie chimique"""
"GCH8392,""Projet individuel de génie chimique II"""
"GCH8615,""Règlementation des procédés propres"""
"GCH8620,""Procédés avancés de séparation"""
"GCH8650,""Génie biochimique"""
"GCH8660,""Opérations unitaires en génie alimentaire"""
"GCH8729,""Déchets solides et énergie résiduelle"""
"GLQ1100,""Géologie générale"""
"GLQ1105,""Minéralogie"""
"GLQ1110,""Géologie structurale"""
"GLQ1115,""Pétrographie"""
"GLQ1700,""Projet de cartographie géologique"""
"GLQ2200,""Géophysique appliquée I"""
"GLQ2300,""Géochimie de l'environnement"""
"GLQ2601,""Hydrogéologie appliquée"""
"GLQ3000,""Communication écrite et orale"""
"GLQ3000A,""Atelier en CÉO"""
"GLQ3000I,""Épreuves initiales de communication"""
"GLQ3100,""Stratigraphie et sédimentologie"""
"GLQ3105,""Dépôts meubles et photo-interprétation"""
"GLQ3205,""Géophysique appliquée II"""
"GLQ3210,""Physique du globe"""
"GLQ3401,""Géostatistique et géologie minières"""
"GLQ3415,""Géomécanique"""
"GLQ3651,""Géologie minière"""
"GLQ8170,""Géologie de l'ingénieur"""
"GLQ8770,""Projet de conception en génie géologique"""
"GLQ8780,""Projet d'hydrogéophysique"""
"GLQ8785,""Projet de synthèse géologique"""
"GML6001,""Mécanique des roches I"""
"GML6002,""Mécanique des roches II"""
"GML6003,""Séminaire de géomatériaux"""
"GML6107,""Hydrogéologie"""
"GML6112,""Environnement minier et restauration de sites"""
"GML6203,""Méth. magnétiques et gravimétriques en géoph."""
"GML6204,""Méth. électriques et électrom. en géophysique"""
"GML6205,""Méthodes sismiques"""
"GML6402A,""Géostatistique"""
"GML6502,""Tectonophysique"""
"GML6503,""Géologie structurale et tectonique"""
"GML6601,""Minéralogie appliquée au génie minéral"""
"GML6602,""Flottation des minerais"""
"GML6603,""Remblais miniers"""
"GML6604,""CARACTÉRISATION MINÉRAOLOGIQUE"""
"GML6901,""Projet de maîtrise en ingénierie I"""
"GML6902,""Projet de maîtrise en ingénierie II"""
"GML6903,""Projet de maîtrise en ingénierie III"""
"GML6905,""Séminaires"""
"GML6906,""Stage en laboratoire"""
